Index,Ethnic Origin,Citizen Status,Religious Question,Religion Beliefs,Response,Phone,SSN
39,Ivatan,Naturalized citizen,Do you believe in environmental stewardship as a religious duty?,Protestant,Prefer not to say,+639791012493,238-84-1712
40,Aklanon,Non-citizen resident,Do you believe in forgiveness and reconciliation in public policy?,Aglipayan,Don't know,+639317699673,182-51-8192
41,Chavacano,Filipino citizen,Do you believe in separation of church and state?,Indigenous animist,Yes,+639466264986,834-69-4184
42,Surigaonon,Dual citizen,Do you believe in interfaith dialogue as a way to reduce conflict?,Non-religious,No,+639398397153,686-17-3133
43,Ibanag,Naturalized citizen,Do you believe in faith healing as a part of medical care?,Roman Catholic,Sometimes,+639205158858,888-18-1146
44,Yakan,Non-citizen resident,Do you believe in attending weekly religious services?,Sunni Muslim,Prefer not to say,+639746920504,663-34-9141
45,Sama-Bajau,Filipino citizen,Do you believe in religious education in public schools?,Iglesia ni Cristo,Don't know,+639633406575,765-74-3986
46,Kinaray-a,Dual citizen,Do you believe in the right to choose your own religion?,Protestant,Yes,+639287775438,283-37-1053
47,Sambal,Naturalized citizen,Do you believe in blessing new government programs?,Aglipayan,No,+639254125283,361-88-1637
48,Ibaloi,Non-citizen resident,Do you believe in honoring indigenous spiritual practices?,Indigenous animist,Sometimes,+639696013141,654-29-5710
49,Itawit,Filipino citizen,Do you believe in environmental stewardship as a religious duty?,Non-religious,Prefer not to say,+639527638017,782-68-6535
50,Bicolano,Dual citizen,Do you believe in forgiveness and reconciliation in public policy?,Roman Catholic,Don't know,+639497132435,255-75-9940
51,Tagalog,Naturalized citizen,Do you believe in separation of church and state?,Sunni Muslim,Yes,+639206573506,152-46-2835
52,Cebuano,Non-citizen resident,Do you believe in interfaith dialogue as a way to reduce conflict?,Iglesia ni Cristo,No,+639068036974,322-45-4047
53,Ilocano,Filipino citizen,Do you believe in faith healing as a part of medical care?,Protestant,Sometimes,+639926033165,618-68-1709
54,Hiligaynon,Dual citizen,Do you believe in attending weekly religious services?,Aglipayan,Prefer not to say,+639051224812,241-83-2926
55,Bikol,Naturalized citizen,Do you believe in religious education in public schools?,Indigenous animist,Don't know,+639724073319,585-30-2168
56,Waray,Non-citizen resident,Do you believe in the right to choose your own religion?,Non-religious,Yes,+639082053811,585-45-3695
57,Kapampangan,Filipino citizen,Do you believe in blessing new government programs?,Roman Catholic,No,+639552022809,524-53-4530
58,Pangasinan,Dual citizen,Do you believe in honoring indigenous spiritual practices?,Sunni Muslim,Sometimes,+639081637240,825-20-4323
59,Tausug,Naturalized citizen,Do you believe in environmental stewardship as a religious duty?,Iglesia ni Cristo,Prefer not to say,+639953055878,252-93-9096
60,Maranao,Non-citizen resident,Do you believe in forgiveness and reconciliation in public policy?,Protestant,Don't know,+639004573211,663-58-7225
61,Maguindanao,Filipino citizen,Do you believe in separation of church and state?,Aglipayan,Yes,+639888420012,944-23-2939
62,Kankanaey,Dual citizen,Do you believe in interfaith dialogue as a way to reduce conflict?,Indigenous animist,No,+639739272072,232-61-4890
63,Ifugao,Naturalized citizen,Do you believe in faith healing as a part of medical care?,Non-religious,Sometimes,+639989412216,524-28-2363
64,Ivatan,Non-citizen resident,Do you believe in attending weekly religious services?,Roman Catholic,Prefer not to say,+639257402848,309-32-2072
65,Aklanon,Filipino citizen,Do you believe in religious education in public schools?,Sunni Muslim,Don't know,+639717385931,344-76-3049
66,Chavacano,Dual citizen,Do you believe in the right to choose your own religion?,Iglesia ni Cristo,Yes,+639258264914,365-46-6715
67,Surigaonon,Naturalized citizen,Do you believe in blessing new government programs?,Protestant,No,+639363335486,181-16-3313
68,Ibanag,Non-citizen resident,Do you believe in honoring indigenous spiritual practices?,Aglipayan,Sometimes,+639933676805,136-14-1841
69,Yakan,Filipino citizen,Do you believe in environmental stewardship as a religious duty?,Indigenous animist,Prefer not to say,+639231440472,578-15-5163
70,Sama-Bajau,Dual citizen,Do you believe in forgiveness and reconciliation in public policy?,Non-religious,Don't know,+639793783205,561-72-7687
71,Kinaray-a,Naturalized citizen,Do you believe in separation of church and state?,Roman Catholic,Yes,+639663189263,402-57-3705
72,Sambal,Non-citizen resident,Do you believe in interfaith dialogue as a way to reduce conflict?,Sunni Muslim,No,+639832459168,582-31-3970
73,Ibaloi,Filipino citizen,Do you believe in faith healing as a part of medical care?,Iglesia ni Cristo,Sometimes,+639929297585,738-32-3159
74,Itawit,Dual citizen,Do you believe in attending weekly religious services?,Protestant,Prefer not to say,+639972866860,253-49-9411
75,Bicolano,Naturalized citizen,Do you believe in religious education in public schools?,Aglipayan,Don't know,+639124779316,919-78-6952
76,Tagalog,Non-citizen resident,Do you believe in the right to choose your own religion?,Indigenous animist,Yes,+639297104452,953-69-8781
77,Cebuano,Filipino citizen,Do you believe in blessing new government programs?,Non-religious,No,+639520424419,864-48-2585
78,Ilocano,Dual citizen,Do you believe in honoring indigenous spiritual practices?,Roman Catholic,Sometimes,+639521085330,425-51-9461
79,Hiligaynon,Naturalized citizen,Do you believe in environmental stewardship as a religious duty?,Sunni Muslim,Prefer not to say,+639180800513,251-94-4022
80,Bikol,Non-citizen resident,Do you believe in forgiveness and reconciliation in public policy?,Iglesia ni Cristo,Don't know,+639905748387,201-64-9587
81,Waray,Filipino citizen,Do you believe in separation of church and state?,Protestant,Yes,+639775841676,370-56-1253
82,Kapampangan,Dual citizen,Do you believe in interfaith dialogue as a way to reduce conflict?,Aglipayan,No,+639796875308,867-57-4065
83,Pangasinan,Naturalized citizen,Do you believe in faith healing as a part of medical care?,Indigenous animist,Sometimes,+639009195221,422-53-3760
84,Tausug,Non-citizen resident,Do you believe in attending weekly religious services?,Non-religious,Prefer not to say,+639191755163,716-43-1865
85,Maranao,Filipino citizen,Do you believe in religious education in public schools?,Roman Catholic,Don't know,+639803319586,481-65-2265
86,Maguindanao,Dual citizen,Do you believe in the right to choose your own religion?,Sunni Muslim,Yes,+639820714414,103-96-6207
87,Kankanaey,Naturalized citizen,Do you believe in blessing new government programs?,Iglesia ni Cristo,No,+639992274867,816-84-2728
88,Ifugao,Non-citizen resident,Do you believe in honoring indigenous spiritual practices?,Protestant,Sometimes,+639995354676,644-48-5823
89,Ivatan,Filipino citizen,Do you believe in environmental stewardship as a religious duty?,Aglipayan,Prefer not to say,+639562737198,519-64-6377
90,Aklanon,Dual citizen,Do you believe in forgiveness and reconciliation in public policy?,Indigenous animist,Don't know,+639731175046,299-66-6757
91,Chavacano,Naturalized citizen,Do you believe in separation of church and state?,Non-religious,Yes,+639172541088,906-96-6253
92,Surigaonon,Non-citizen resident,Do you believe in interfaith dialogue as a way to reduce conflict?,Roman Catholic,No,+639063204339,303-90-8353
93,Ibanag,Filipino citizen,Do you believe in faith healing as a part of medical care?,Sunni Muslim,Sometimes,+639667969431,414-47-3689
94,Yakan,Dual citizen,Do you believe in attending weekly religious services?,Iglesia ni Cristo,Prefer not to say,+639109443110,189-58-1724
95,Sama-Bajau,Naturalized citizen,Do you believe in religious education in public schools?,Protestant,Don't know,+639945011271,461-78-1509
96,Kinaray-a,Non-citizen resident,Do you believe in the right to choose your own religion?,Aglipayan,Yes,+639673177722,471-80-5987
97,Sambal,Filipino citizen,Do you believe in blessing new government programs?,Indigenous animist,No,+639787824546,588-54-9896
98,Ibaloi,Dual citizen,Do you believe in honoring indigenous spiritual practices?,Non-religious,Sometimes,+639913199621,501-57-6181
99,Itawit,Naturalized citizen,Do you believe in environmental stewardship as a religious duty?,Roman Catholic,Prefer not to say,+639128509387,153-69-6632
100,Bicolano,Non-citizen resident,Do you believe in forgiveness and reconciliation in public policy?,Sunni Muslim,Don't know,+639038468248,200-30-4093
